timestamp_processamento,linha_codigo,linha_id,sentido,letreiro_origem,letreiro_destino,dia_semana,hora_minuto,frota_ativa_real,headway_real_min,frota_planejada,headway_planejado_min,temperatura_c,sensacao_termica_c,chuva_1h_mm,visibilidade_m,vento_velocidade_ms,clima_evento_id,jam_factor,velocidade_via_kmh,velocidade_freeflow_kmh,incidente_critico,iac_gargalo_climatico,gt_gargalo_trafego,hp_horario_pico,ac_aderencia_cronograma,dfi_demanda_frota_ideal,frota_necessaria_estimada,deficit_operacional,go_gargalo_operacional,status_classificacao,acao_recomendada
2026-08-18T02:17:18.150100,7055-10,34656,2,TERM. CAMPO LIMPO,JD. GUARUJÁ,1,23:16,3,20.0,3,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,66.67,4,1,0.2668,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,675L-10,1478,1,METRÔ STA. CRUZ,TERM. STO. AMARO,1,23:16,3,20.0,3,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,66.67,4,1,0.2668,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,5034-31,1664,1,VL. LIVIERO,TERM. SACOMÃ,1,23:16,1,60.0,1,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.333,100.0,2,1,0.4168,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,8319-21,34475,2,PQ. CONTINENTAL,SHOP. VILLA LOBOS,1,23:16,1,60.0,1,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.333,100.0,2,1,0.4168,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,6L02-10,1178,1,TERM. PARELHEIROS,JD. EUCALIPTOS,1,23:16,1,60.0,1,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.333,100.0,2,1,0.4168,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,4014-10,2187,1,TERM. VL. CARRÃO,JD. VL. CARRÃO,1,23:16,2,30.0,2,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.667,75.0,3,1,0.3209,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,8038-10,797,1,LAPA,PQ. CONTINENTAL,1,23:16,2,30.0,2,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.667,75.0,3,1,0.3209,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,6824-10,23,1,TERM. CAPELINHA,PQ. FERNANDA,1,23:16,1,60.0,1,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.333,100.0,2,1,0.4168,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,1730-10,865,1,METRÔ SANTANA,CENTER NORTE,1,23:16,3,20.0,3,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,66.67,4,1,0.2668,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,2011-10,34904,2,METRÔ SANTANA,VL. SABRINA,1,23:16,5,12.0,5,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,60.0,6,1,0.2501,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,6818-10,28,1,TERM. CAPELINHA,JD. VALE DAS VIRTUDES,1,23:16,2,30.0,2,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.667,75.0,3,1,0.3209,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,675L-10,34246,2,METRÔ STA. CRUZ,TERM. STO. AMARO,1,23:16,2,30.0,2,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.667,75.0,3,1,0.3209,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,6L10-41,34773,2,TERM. VARGINHA,MESSIÂNICA,1,23:16,1,60.0,1,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.333,100.0,2,1,0.4168,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,172K-10,857,1,METRÔ TATUAPÉ,JD. TREMEMBÉ,1,23:16,3,20.0,3,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,66.67,4,1,0.2668,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,408A-10,33534,2,CARDOSO DE ALMEIDA,MACHADO DE ASSIS,1,23:16,1,60.0,1,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.333,100.0,2,1,0.4168,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,5630-10,32846,2,METRÔ BRÁS,TERM. GRAJAÚ,1,23:16,4,15.0,4,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,62.5,5,1,0.2564,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,1703-10,847,1,SHOP. CENTER NORTE,JD. FONTÁLIS,1,23:16,2,30.0,2,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.667,75.0,3,1,0.3209,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,3019-10,957,1,VL. PAULISTA I,TERM. CID. TIRADENTES,1,23:16,1,60.0,1,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.333,100.0,2,1,0.4168,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,2007-10,33664,2,CPTM ITAIM PAULISTA,CID. KEMEL II,1,23:16,4,15.0,4,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,62.5,5,1,0.2564,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,1017-10,34909,2,CONEXÃO VL. IÓRIO,PERUS,1,23:16,5,12.0,5,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,60.0,6,1,0.2501,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,6821-10,32789,2,TERM. CAPELINHA,JD. JANGADEIRO,1,23:16,1,60.0,1,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.333,100.0,2,1,0.4168,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,574A-10,602,1,LGO. CAMBUCI,AMERICANÓPOLIS,1,23:16,4,15.0,4,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,62.5,5,1,0.2564,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,971D-10,709,1,SHOP. CENTER NORTE,JD. DAMASCENO,1,23:16,5,12.0,5,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,1.0,60.0,6,1,0.2501,Estabilizado,Operação Normal
2026-08-18T02:17:18.150100,6080-10,1168,1,SHOP. INTERLAGOS,JD. LUCÉLIA,1,23:16,2,30.0,2,20.0,21.27,21.49,0.0,10000,2.06,800,3.0,22.5,45.0,0,4.56,23.5,0.2,0.667,75.0,3,1,0.3209,Estabilizado,Operação Normal
