timestamp_processamento,linha_codigo,linha_id,sentido,letreiro_origem,letreiro_destino,dia_semana,hora_minuto,frota_ativa_real,headway_real_min,frota_planejada,headway_planejado_min,temperatura_c,sensacao_termica_c,chuva_1h_mm,visibilidade_m,vento_velocidade_ms,clima_evento_id,jam_factor,velocidade_via_kmh,velocidade_freeflow_kmh,incidente_critico,iac_gargalo_climatico,gt_gargalo_trafego,hp_horario_pico,ac_aderencia_cronograma,dfi_demanda_frota_ideal,frota_necessaria_estimada,deficit_operacional,go_gargalo_operacional,status_classificacao,acao_recomendada
2026-08-27T21:00:52.644292,8677-10,33211,2,LGO. DO PAISSANDÚ,JD. LÍBANO,3,18:00,10,6.0,11,20.0,25.65,25.65,0.0,10000,2.24,800,4.06,19.94,35.39,0,4.74,30.92,0.8,1.0,65.0,13,3,0.3717,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,342C-10,33770,2,PENHA,JD. MARÍLIA,3,18:00,4,15.0,4,20.0,25.65,25.65,0.0,10000,2.24,800,3.41,23.13,35.24,0,4.74,26.37,0.8,1.0,62.5,5,1,0.354,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,978L-10,33234,2,TERM. PRINC. ISABEL,TERM. CACHOEIRINHA,3,18:00,5,12.0,5,20.0,25.65,25.65,0.0,10000,2.24,800,4.41,17.93,29.92,0,4.74,33.37,0.8,1.0,60.0,6,1,0.3653,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,6031-10,32860,2,EST. MENDES/VL. NATAL,TERM. GRAJAÚ,3,18:00,5,12.0,5,20.0,25.65,25.65,0.0,10000,2.24,800,5.34,17.4,28.01,0,4.74,39.88,0.8,1.0,70.0,7,2,0.4065,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,6505-10,34218,2,TERM. BANDEIRA,TERM. GUARAPIRANGA,3,18:00,13,4.6,14,20.0,25.65,25.65,0.0,10000,2.24,800,5.02,12.67,28.78,1,4.74,62.64,0.8,1.0,73.08,19,6,0.4711,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,701U-10,657,1,CID. UNIVERSITÁRIA,METRÔ SANTANA,3,18:00,5,12.0,5,20.0,25.65,25.65,0.0,10000,2.24,800,4.61,17.08,31.53,1,4.74,59.77,0.8,1.0,70.0,7,2,0.4563,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,1744-10,544,1,METRÔ SANTANA,LAUZANE PAULISTA,3,18:00,6,10.0,6,20.0,25.65,25.65,0.0,10000,2.24,800,5.7,13.13,27.75,0,4.74,42.4,0.8,1.0,66.67,8,2,0.4045,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,6061-10,33918,2,TERM. GRAJAÚ,JD. MARILDA,3,18:00,7,8.6,7,20.0,25.65,25.65,0.0,10000,2.24,800,5.32,14.45,25.65,0,4.74,39.74,0.8,1.0,64.29,9,2,0.3919,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,737A-10,34498,2,TERM. STO. AMARO,TERM. JD. ÂNGELA,3,18:00,17,3.5,18,20.0,25.65,25.65,0.0,10000,2.24,800,3.69,19.78,30.51,0,4.74,28.33,0.8,1.0,61.76,21,4,0.3571,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,271F-10,683,1,METRÔ BELÉM     ,CENTER NORTE,3,18:00,7,8.6,7,20.0,25.65,25.65,0.0,10000,2.24,800,4.78,17.24,31.31,0,4.74,35.96,0.8,1.0,64.29,9,2,0.3825,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,857R-10,34660,2,ACLIMAÇÃO,TERM. CAMPO LIMPO,3,18:00,13,4.6,14,20.0,25.65,25.65,0.0,10000,2.24,800,5.15,11.8,30.18,1,4.74,63.55,0.8,1.0,73.08,19,6,0.4734,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,6L07-10,34313,2,TERM. VARGINHA,JD. STA. FÉ,3,18:00,4,15.0,4,20.0,25.65,25.65,0.0,10000,2.24,800,3.0,22.5,45.0,0,4.74,23.5,0.8,1.0,62.5,5,1,0.3468,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,414P-10,33873,2,TERM. NORTE METRÔ CARRÃO,VL. INDUSTRIAL,3,18:00,10,6.0,11,20.0,25.65,25.65,0.0,10000,2.24,800,2.66,19.95,27.8,0,4.74,21.12,0.8,1.0,65.0,13,3,0.3471,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,778R-10,33277,2,TERM. PRINC. ISABEL,COHAB RAPOSO TAVARES,3,18:00,8,7.5,8,20.0,25.65,25.65,0.0,10000,2.24,800,4.05,14.83,36.33,0,4.74,30.85,0.8,1.0,62.5,10,2,0.3652,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,6076-41,34754,2,TERM. STO. AMARO,JD. SATÉLITE II,3,18:00,2,30.0,2,20.0,25.65,25.65,0.0,10000,2.24,800,1.94,23.12,30.33,0,4.74,16.08,0.8,0.667,75.0,3,1,0.3928,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,971A-10,33426,2,SHOP. D,JD. PRIMAVERA,3,18:00,6,10.0,6,20.0,25.65,25.65,0.0,10000,2.24,800,3.34,22.83,24.51,0,4.74,25.88,0.8,1.0,58.33,7,1,0.3424,Estabilizado,Operação Normal
2026-08-27T21:00:52.644292,8622-10,438,1,PÇA. RAMOS DE AZEVEDO,MORRO DOCE,3,18:00,6,10.0,6,20.0,25.65,25.65,0.0,10000,2.24,800,3.64,23.67,34.76,0,4.74,27.98,0.8,1.0,58.33,7,1,0.3476,Estabilizado,Operação Normal
