timestamp_processamento,linha_codigo,linha_id,sentido,letreiro_origem,letreiro_destino,dia_semana,hora_minuto,frota_ativa_real,headway_real_min,frota_planejada,headway_planejado_min,temperatura_c,sensacao_termica_c,chuva_1h_mm,visibilidade_m,vento_velocidade_ms,clima_evento_id,jam_factor,velocidade_via_kmh,velocidade_freeflow_kmh,incidente_critico,iac_gargalo_climatico,gt_gargalo_trafego,hp_horario_pico,ac_aderencia_cronograma,dfi_demanda_frota_ideal,frota_necessaria_estimada,deficit_operacional,go_gargalo_operacional,status_classificacao,acao_recomendada
2026-08-22T18:22:54.281376,6074-10,33929,2,EST. JURUBATUBA,JD. GAIVOTAS,5,15:22,6,10.0,6,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,1.0,58.33,7,1,0.2948,Estabilizado,Operação Normal
2026-08-22T18:22:54.281376,6062-51,34507,2,TERM. STO. AMARO,JD. CASTRO ALVES,5,15:22,3,20.0,3,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,1.0,66.67,4,1,0.3157,Estabilizado,Operação Normal
2026-08-22T18:22:54.281376,2032-10,35034,2,METRÔ CARANDIRU,JD. BRASIL,5,15:22,2,30.0,2,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,0.667,75.0,3,1,0.3698,Estabilizado,Operação Normal
2026-08-22T18:22:54.281376,3021-10,33044,2,TERM. VL PRUDENTE,PQ. BANCÁRIO,5,15:22,2,30.0,2,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,0.667,75.0,3,1,0.3698,Estabilizado,Operação Normal
2026-08-22T18:22:54.281376,6821-10,32789,2,TERM. CAPELINHA,JD. JANGADEIRO,5,15:22,1,60.0,1,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,0.333,100.0,2,1,0.4657,Estabilizado,Operação Normal
2026-08-22T18:22:54.281376,3006-10,1865,1,CPTM GUAIANASES,JD. FANGANIELO,5,15:22,3,20.0,3,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,1.0,66.67,4,1,0.3157,Estabilizado,Operação Normal
2026-08-22T18:22:54.281376,4085-10,34924,2,METRÔ ITAQUERA,COHAB FAZENDA DO CARMO,5,15:22,3,20.0,3,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,1.0,66.67,4,1,0.3157,Estabilizado,Operação Normal
2026-08-22T18:22:54.281376,6092-10,33945,2,TERM. GRAJAÚ,JD. DAS PEDRAS,5,15:22,4,15.0,4,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,1.0,62.5,5,1,0.3053,Estabilizado,Operação Normal
2026-08-22T18:22:54.281376,3768-10,33824,2,CPTM JOSÉ BONIFÁCIO,VL. YOLANDA,5,15:22,4,15.0,4,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,1.0,62.5,5,1,0.3053,Estabilizado,Operação Normal
2026-08-22T18:22:54.281376,3390-10,33506,2,TERM. PQ. D. PEDRO II,SÃO MATEUS,5,15:22,4,15.0,4,20.0,22.08,21.7,0.0,10000,3.6,801,3.0,22.5,45.0,0,6.1,23.5,0.5,1.0,62.5,5,1,0.3053,Estabilizado,Operação Normal
