extracao_timestamp,linha,id_linha,sentido,prefixo_onibus,timestamp_onibus,latitude,longitude,temperatura,umidade,clima_descricao
20260613_172405,507T-10,34976,2,48244,2026-06-13T20:23:20Z,-23.541069999999998,-46.5500845,20.13,84,nublado
20260613_172405,507T-10,34976,2,48829,2026-06-13T20:23:31Z,-23.58734725,-46.51230625,20.13,84,nublado
20260613_172405,507T-10,34976,2,48874,2026-06-13T20:23:32Z,-23.6013965,-46.502987000000005,20.13,84,nublado
20260613_172405,507T-10,34976,2,48485,2026-06-13T20:23:35Z,-23.5995255,-46.501253,20.13,84,nublado
20260613_172405,271C-10,682,1,21378,2026-06-13T20:23:44Z,-23.499679,-46.5936605,20.13,84,nublado
20260613_172405,271C-10,682,1,21951,2026-06-13T20:23:38Z,-23.531511,-46.636298,20.13,84,nublado
20260613_172405,5111-10,48,1,71657,2026-06-13T20:23:42Z,-23.6543525,-46.7118265,20.13,84,nublado
20260613_172405,5111-10,48,1,71686,2026-06-13T20:23:42Z,-23.606044125000004,-46.675613125,20.13,84,nublado
20260613_172405,5111-10,48,1,71691,2026-06-13T20:24:03Z,-23.547648,-46.630084999999994,20.13,84,nublado
20260613_172405,5111-10,48,1,71658,2026-06-13T20:23:52Z,-23.553562375,-46.6383405,20.13,84,nublado
20260613_172405,5111-10,48,1,71548,2026-06-13T20:23:46Z,-23.580375,-46.6637115,20.13,84,nublado
20260613_172405,5111-10,48,1,71170,2026-06-13T20:23:46Z,-23.6543525,-46.7118265,20.13,84,nublado
20260613_172405,8010-10,33566,2,16246,2026-06-13T20:23:56Z,-23.516917,-46.7029155,20.13,84,nublado
20260613_172405,8010-10,33566,2,16603,2026-06-13T20:23:26Z,-23.419337,-46.749284,20.13,84,nublado
20260613_172405,8010-10,33566,2,16497,2026-06-13T20:23:32Z,-23.419767,-46.7495725,20.13,84,nublado
20260613_172405,8010-10,33566,2,16749,2026-06-13T20:23:59Z,-23.419140999999996,-46.749117999999996,20.13,84,nublado
20260613_172405,8010-10,33566,2,16771,2026-06-13T20:23:34Z,-23.4188695,-46.748881499999996,20.13,84,nublado
20260613_172405,8010-10,33566,2,16094,2026-06-13T20:23:47Z,-23.457594,-46.71914975,20.13,84,nublado
20260613_172405,8010-10,33566,2,16310,2026-06-13T20:23:48Z,-23.419567999999998,-46.749461499999995,20.13,84,nublado
20260613_172405,8010-10,33566,2,16741,2026-06-13T20:24:00Z,-23.419767,-46.7495725,20.13,84,nublado
20260613_172405,8010-10,33566,2,16728,2026-06-13T20:23:53Z,-23.48869275,-46.725104,20.13,84,nublado
20260613_172405,8010-10,33566,2,16381,2026-06-13T20:23:53Z,-23.5096815,-46.7047305,20.13,84,nublado
